legacy_id	article	receipt_name	group
343		"Набір прикрас"	"3 группа"
349	Б2.0	"Ніжний браслет з застібкою тогл та серцем"	"3 группа"
35	Ч23.1	"Чокер з  серцями"	"3 группа"
350	Б72	"Браслет з ланцюжка зі звичайною застібкою"	"2 группа"
351	Ч1.2	"Чокер з японського бісеру з кольоровим акцентом"	"3 группа"
352	С75	Сережки	"3 группа"
353	Ч20	"Чокер з серцем"	"3 группа"
354	К83.2	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
355	К83.4	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
357	К89	"Кольє бантик"	"2 группа"
358	К83.1	"Комбіноване прозоре кольє з ланцюжками та пташкою"	"2 группа"
359	К83	"Комбіноване рожеве кольє з ланцюжками та кулоном"	"2 группа"
360	К83.7	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
363	К98	"Комбіноване акцентне кольє з ланцюжками"	"2 группа"
364	Ч11М.С	"Ніжний вишуканий чокер"	"3 группа"
365	Ч98.1С.М	"Яскравий мінімалістичний чокер у блакитному кольорі"	"3 группа"
366	Ч23.1М	"Чокер з серцями"	"3 группа"
367	Б23.1М	"Браслет з серцями"	"3 группа"
368	Ч25М	"Незвичайний чокер гарної форми"	"3 группа"
369	К104	"Кольє з серцем та ланцюжками"	"2 группа"
37	Ц22	Ланцюжок-краватка	"3 группа"
371	К94.1	"Комбіноване рожеве кольє з ланцюжками та кулоном"	"2 группа"
372	С219.2	"Сережки гвіздочки з серцями"	"2 группа"
373	Б86.1	"Браслет  у рожевому кольорі"	"2 группа"
374	С99	"Сережки у рожевому кольорі"	"2 группа"
375	К86	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
376	С98	Сережки-трансформери	"2 группа"
377	Б86.2	"Браслет у білому кольорі"	"2 группа"
379	К93М	"Мінімалістичне кольє з білим серцем"	"3 группа"
38	Б3	"Потрійний браслет"	"3 группа"
383	С95.2С	Сережки-трансформери	"2 группа"
384	Ц22.1	"Ланцюжок-краватка з кольоровим камінням"	"3 группа"
385	С21.1	"Сережки гвіздочки з кольоровим камінням"	"3 группа"
386	Б94.1	"Подвійний браслет з кольоровим вкрапленням"	"3 группа"
387	К81	"Мінімалістичне кольє з серцем"	"3 группа"
390	Б110	"Ніжний браслет з серцем"	"3 группа"
391	Ц22.2	"Ланцюжок-краватка з камінням чорного кольору"	"3 группа"
393	Б94.2	"Подвійний браслет з вкрапленням чорного каміння"	"3 группа"
397	Ч98С.М	"Яскравий мінімалістичний чокер у зеленому кольорі"	"3 группа"
398	Б11М.С	"Вишуканий браслет"	"3 группа"
399	Ч48М	"Базовий витончений чокер"	"3 группа"
40	Б2	"Браслет з білим серцем"	"3 группа"
400	Б105М	"Ніжний браслет"	"3 группа"
402	Ч12.1,Ч55.2,С19	"Комплект з двох чокерів та сережок"	"3 группа"
403	Ч55.5	"Чокер з японського бісеру з кулоном"	"2 группа"
404	Б103	"Браслет з горлицею"	"3 группа"
405	Ч29	"Комбінований чокер з акцентною намистиною"	"2 группа"
406	С53.1	Сережки-трансформери	"2 группа"
407	Б67	"Комбінований браслет з акцентною намистиною"	"2 группа"
409	ЧШ14	"Ніжний чокер шнурівка з кулоном"	"2 группа"
41	Б4	"Браслет з акцентною застібкою"	"3 группа"
413	Ч48.1	"Ніжний базовий чокер"	"3 группа"
414	К109С	"Кольє з кулоном сонце"	"2 группа"
416	К12.4	"Кольє з акцентною застібкою"	"3 группа"
417	К100С	"Кольє з серцем у рожевому кольорі"	"2 группа"
419	К109	"Кольє з кулоном сонце"	"2 группа"
420	К55.С	"Сяюче кольє з сонцем"	"3 группа"
421	С105	"Сережки-трансформери з конюшиною"	"2 группа"
422	Б105.1	"Комбінований браслет у зеленому кольорі"	"2 группа"
423	К110	"Кольє з серцем"	"2 группа"
424	С110.С	"Сережки серця"	"2 группа"
425	Ч125	"Чокер з серцем у блакитному кольорі"	"2 группа"
426	С107.1	"Сережки з блакитними серцями"	"2 группа"
427	Б125.0	"Браслет блакитного кольору з серцем"	"2 группа"
43	Ч112	"Мінімалістичний чокер з Вашою літерою"	"3 группа"
430	Б124	"Витончений браслет"	"2 группа"
431	R22	Каблучка	"2 группа"
432	Ч125.1	"Чокер з серцем у рожевому кольорі"	"2 группа"
433	К112	"Кольє з сонцем"	"2 группа"
434	К83.11С	"Кольє з сонцем"	"2 группа"
